timestamp_ms,md0-read,md0-write,md1-read,md1-write,md2-read,md2-write,nvme0n1-read,nvme0n1-write,nvme1n1-read,nvme1n1-write,sda-read,sda-write,sdaa-read,sdaa-write,sdab-read,sdab-write,sdac-read,sdac-write,sdad-read,sdad-write,sdae-read,sdae-write,sdaf-read,sdaf-write,sdag-read,sdag-write,sdah-read,sdah-write,sdai-read,sdai-write,sdaj-read,sdaj-write,sdak-read,sdak-write,sdal-read,sdal-write,sdb-read,sdb-write,sdc-read,sdc-write,sdd-read,sdd-write,sde-read,sde-write,sdf-read,sdf-write,sdg-read,sdg-write,sdh-read,sdh-write,sdi-read,sdi-write,sdj-read,sdj-write,sdk-read,sdk-write,sdl-read,sdl-write,sdm-read,sdm-write,sdn-read,sdn-write,sdo-read,sdo-write,sdp-read,sdp-write,sdq-read,sdq-write,sdr-read,sdr-write,sds-read,sds-write,sdt-read,sdt-write,sdu-read,sdu-write,sdv-read,sdv-write,sdw-read,sdw-write,sdx-read,sdx-write,sdy-read,sdy-write,sdz-read,sdz-write
1476625100000,0.00,0.00,0.00,0.00,0.10,1.95,0.00,255.77,0.00,262.37,0.08,2.33,27.28,13.90,29.12,12.37,31.30,12.90,32.63,14.33,30.03,10.83,37.65,15.47,32.30,14.40,26.08,14.78,31.42,14.18,41.50,16.43,34.37,12.90,32.65,18.25,0.03,2.33,37.58,15.00,40.85,24.03,37.23,25.45,27.48,12.12,30.92,12.52,36.73,14.15,39.13,14.75,34.40,28.95,35.45,10.22,33.00,20.47,36.15,13.98,29.42,13.60,33.00,18.27,37.23,13.42,31.75,12.25,34.45,12.58,44.30,15.65,41.62,16.03,29.87,11.43,36.58,15.43,28.48,12.72,31.58,13.07,30.03,14.45,38.22,28.38
1476625160000,0.00,0.00,0.00,0.00,0.28,1.62,0.00,2456.15,0.00,2622.62,0.22,1.93,0.20,55.07,0.02,70.10,0.00,65.43,0.05,68.83,0.23,51.45,0.03,77.75,0.03,73.50,0.03,59.72,0.00,82.63,0.03,85.38,0.02,67.85,0.00,89.43,0.07,1.93,0.00,67.27,0.02,51.97,0.07,71.88,0.07,63.27,0.08,68.15,0.07,72.62,0.02,69.65,0.12,72.00,0.15,42.48,0.07,75.98,0.03,72.87,0.05,75.87,0.17,58.73,0.00,69.98,0.08,65.67,0.18,59.88,0.12,74.88,0.00,91.93,0.02,54.50,0.13,50.48,0.13,70.48,0.10,65.47,0.00,90.62,0.05,79.73
1476625220000,0.00,0.00,0.00,0.00,0.00,0.48,0.00,5194.23,0.00,5368.88,0.00,0.97,0.07,111.32,0.00,148.25,0.02,158.52,0.00,150.32,0.08,115.73,0.07,162.73,0.13,176.60,0.00,132.53,0.00,161.03,0.17,189.05,0.07,162.08,0.00,199.55,0.00,0.97,0.03,168.95,0.07,114.62,0.12,152.20,0.00,130.58,0.10,151.35,0.17,150.07,0.00,137.93,0.25,141.98,0.07,96.83,0.10,155.32,0.05,153.37,0.00,155.98,0.22,149.98,0.02,127.90,0.22,139.23,0.15,141.62,0.43,156.87,0.00,199.70,0.02,115.98,0.00,111.98,0.15,139.10,0.25,115.47,0.03,180.65,0.10,186.65
1476625280000,0.00,0.00,0.00,0.00,0.00,0.38,0.00,4893.57,0.00,5203.87,0.00,1.22,0.05,109.53,0.00,150.23,0.00,154.87,0.00,142.97,0.07,110.13,0.10,158.07,0.17,163.23,0.02,129.40,0.00,162.18,0.15,159.92,0.12,153.50,0.00,200.32,0.00,1.22,0.00,148.13,0.08,130.30,0.08,155.08,0.00,129.15,0.08,139.23,0.17,143.18,0.07,127.25,0.15,133.30,0.03,85.68,0.08,149.23,0.03,151.02,0.00,149.10,0.18,140.88,0.00,142.10,0.12,127.93,0.05,131.32,0.27,145.35,0.00,183.98,0.03,111.33,0.00,117.88,0.15,136.75,0.23,125.65,0.03,166.83,0.05,168.12
1476625340000,0.00,0.00,0.00,0.00,0.00,0.45,0.00,4954.95,0.00,5183.50,0.00,1.18,0.05,120.48,0.03,129.22,0.00,145.65,0.02,152.78,0.05,113.60,0.07,153.93,0.08,154.77,0.00,139.03,0.02,167.88,0.07,177.58,0.13,147.97,0.00,189.97,0.00,1.18,0.00,153.10,0.10,118.43,0.12,141.48,0.00,123.43,0.15,148.90,0.08,150.88,0.08,135.18,0.12,137.10,0.00,92.95,0.07,139.65,0.03,158.80,0.00,161.32,0.00,134.68,0.00,133.78,0.13,135.07,0.15,141.90,0.40,146.38,0.00,178.57,0.03,114.13,0.00,105.02,0.05,139.73,0.27,127.93,0.03,169.70,0.15,170.00
1476625400000,0.00,0.00,0.00,0.00,0.00,0.42,0.00,4395.37,0.00,4557.27,0.00,1.15,0.12,101.67,0.00,131.52,0.00,136.85,0.02,124.70,0.03,93.75,0.08,128.13,0.22,142.60,0.00,117.35,0.00,148.72,0.15,156.87,0.13,122.00,0.00,175.67,0.00,1.15,0.00,135.85,0.03,100.00,0.07,135.67,0.00,103.68,0.10,137.45,0.08,124.07,0.10,129.32,0.18,119.02,0.00,80.10,0.08,140.12,0.00,143.27,0.00,147.52,0.00,106.00,0.00,116.63,0.12,132.08,0.07,113.17,0.40,139.73,0.00,166.75,0.07,95.63,0.00,107.67,0.08,125.73,0.20,107.12,0.00,139.27,0.07,147.60
1476625460000,0.00,0.00,0.00,0.00,0.00,1.40,15.00,4636.72,15.00,4849.22,0.00,1.98,0.12,114.57,0.00,124.80,0.00,142.95,0.05,137.00,0.05,98.23,0.10,145.70,0.12,162.93,0.00,122.22,0.00,148.48,0.12,166.07,0.08,131.37,0.00,188.47,0.00,1.98,0.00,141.92,0.07,113.43,0.08,136.02,0.00,119.65,0.08,130.65,0.08,134.53,0.07,130.38,0.15,113.27,0.00,84.13,0.07,136.95,0.00,145.02,0.00,150.57,0.00,120.35,0.00,129.63,0.18,124.22,0.10,126.13,0.27,144.93,0.02,171.42,0.07,108.10,0.00,108.18,0.13,125.30,0.02,117.53,0.08,167.47,0.08,166.28
1476625520000,0.00,0.00,0.00,0.00,0.00,0.48,0.00,5023.70,0.00,5324.62,0.00,0.80,0.05,113.05,0.00,138.00,0.00,149.83,0.00,136.78,0.00,105.88,0.03,156.20,0.00,165.42,0.00,144.28,0.00,164.45,0.08,179.32,0.12,162.65,0.00,210.33,0.00,0.80,0.00,149.40,0.02,129.05,0.05,149.02,0.00,136.12,0.05,154.98,0.03,152.08,0.05,145.15,0.07,133.67,0.00,95.32,0.07,166.67,0.00,150.43,0.00,158.38,0.00,127.95,0.00,128.43,0.12,130.45,0.08,134.93,0.18,164.78,0.05,187.07,0.08,119.50,0.00,107.65,0.08,138.98,0.03,129.55,0.07,176.03,0.10,179.82
1476625580000,0.00,0.00,0.00,0.00,0.00,0.58,0.00,5228.80,0.00,5523.88,0.00,1.53,0.07,117.67,0.00,161.12,0.00,153.03,0.00,148.08,0.05,112.22,0.10,170.30,0.00,175.75,0.00,141.37,0.00,177.85,0.13,179.83,0.07,161.30,0.00,207.50,0.00,1.53,0.00,163.20,0.00,131.02,0.12,149.02,0.00,121.48,0.07,154.45,0.00,155.98,0.03,145.23,0.18,139.72,0.00,95.70,0.03,174.50,0.00,173.95,0.00,170.62,0.00,148.30,0.00,141.65,0.12,132.95,0.13,157.47,0.20,157.68,0.03,194.90,0.08,132.48,0.00,105.68,0.02,146.58,0.05,135.53,0.03,178.03,0.18,182.75
1476625640000,0.00,0.00,0.00,0.00,0.00,0.42,0.00,4923.13,0.00,5206.08,0.00,1.02,0.15,116.03,0.00,128.02,0.00,152.20,0.00,144.62,0.07,108.18,0.10,160.93,0.02,161.97,0.00,138.67,0.00,155.27,0.17,173.50,0.10,145.02,0.00,198.90,0.00,1.02,0.00,163.18,0.00,132.38,0.12,145.58,0.00,131.00,0.05,149.65,0.00,135.67,0.02,133.70,0.13,136.72,0.00,88.68,0.00,150.48,0.00,151.72,0.00,156.43,0.00,127.53,0.00,146.12,0.15,135.43,0.07,139.83,0.18,142.58,0.03,183.63,0.02,113.02,0.00,107.15,0.08,143.43,0.05,122.53,0.07,178.85,0.15,172.17
