timestamp_ms,md0-read,md0-write,md1-read,md1-write,md2-read,md2-write,nvme0n1-read,nvme0n1-write,nvme1n1-read,nvme1n1-write,sda-read,sda-write,sdaa-read,sdaa-write,sdab-read,sdab-write,sdac-read,sdac-write,sdad-read,sdad-write,sdae-read,sdae-write,sdaf-read,sdaf-write,sdag-read,sdag-write,sdah-read,sdah-write,sdai-read,sdai-write,sdaj-read,sdaj-write,sdak-read,sdak-write,sdal-read,sdal-write,sdb-read,sdb-write,sdc-read,sdc-write,sdd-read,sdd-write,sde-read,sde-write,sdf-read,sdf-write,sdg-read,sdg-write,sdh-read,sdh-write,sdi-read,sdi-write,sdj-read,sdj-write,sdk-read,sdk-write,sdl-read,sdl-write,sdm-read,sdm-write,sdn-read,sdn-write,sdo-read,sdo-write,sdp-read,sdp-write,sdq-read,sdq-write,sdr-read,sdr-write,sds-read,sds-write,sdt-read,sdt-write,sdu-read,sdu-write,sdv-read,sdv-write,sdw-read,sdw-write,sdx-read,sdx-write,sdy-read,sdy-write,sdz-read,sdz-write
1476625100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,37.52,0.00,7.05,0.00,5.58,0.00,7.10,0.02,5.12,0.00,6.52,0.00,6.55,0.00,38.28,0.00,7.32,0.00,6.62,0.00,5.72,0.00,7.70,0.00,0.35,0.00,6.52,0.00,23.50,0.00,28.75,0.00,6.22,0.02,6.60,0.00,6.13,0.00,5.40,0.00,18.78,0.00,6.27,0.00,7.40,0.00,7.30,0.00,6.33,0.00,41.63,0.00,6.83,0.00,6.18,0.00,7.18,0.00,5.43,0.02,6.45,0.00,5.07,0.00,48.90,0.00,6.42,0.02,4.58,0.00,5.78,0.00,26.17
1476625160000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,1.12,0.00,1.57,0.00,1.02,0.00,1.48,0.00,0.18,0.00,1.75,0.00,2.05,0.00,1.43,0.00,1.85,0.00,1.73,0.00,1.37,0.00,0.63,0.00,0.18,0.00,0.25,0.00,0.88,0.00,1.02,0.00,1.47,0.00,0.90,0.00,1.55,0.00,1.53,0.00,1.30,0.00,0.58,0.00,1.13,0.00,1.67,0.00,0.38,0.00,1.27,0.00,0.68,0.00,1.17,0.00,1.55,0.00,1.78,0.00,0.32,0.00,0.18,0.00,1.03,0.00,1.60,0.00,0.17,0.00,1.87,0.00,1.35
1476625220000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,3.57,0.00,5.03,0.00,4.83,0.00,5.07,0.00,3.63,0.00,5.23,0.00,5.67,0.00,4.50,0.00,5.27,0.00,5.88,0.00,4.82,0.00,5.63,0.00,0.10,0.00,4.20,0.00,3.93,0.00,4.58,0.00,4.58,0.00,4.72,0.00,4.87,0.00,4.72,0.00,4.27,0.00,2.70,0.00,4.87,0.00,5.22,0.00,4.63,0.00,4.75,0.00,3.90,0.00,4.13,0.00,4.82,0.00,5.07,0.00,5.07,0.00,3.65,0.00,3.67,0.00,4.50,0.00,4.18,0.00,5.17,0.00,5.33
1476625280000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,4.37,0.00,5.27,0.00,5.73,0.00,5.52,0.00,4.12,0.00,5.33,0.00,5.15,0.00,5.20,0.00,6.17,0.00,5.87,0.00,5.90,0.00,6.77,0.00,0.07,0.00,5.80,0.00,4.57,0.00,5.53,0.00,4.88,0.00,5.50,0.00,5.57,0.00,5.18,0.00,5.30,0.00,3.60,0.00,6.03,0.00,5.55,0.00,5.92,0.00,5.45,0.00,5.43,0.00,5.02,0.00,5.20,0.00,5.45,0.00,6.75,0.00,4.48,0.00,4.38,0.00,5.27,0.00,4.82,0.00,6.10,0.00,6.02
1476625340000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,5.40,0.00,6.70,0.00,6.97,0.00,6.58,0.00,4.88,0.00,6.63,0.00,6.63,0.00,6.07,0.00,7.15,0.00,7.37,0.00,6.88,0.00,7.12,0.00,0.10,0.00,6.45,0.00,5.62,0.00,6.05,0.00,6.05,0.00,6.05,0.00,7.08,0.00,5.67,0.00,5.90,0.00,4.10,0.00,6.70,0.00,6.58,0.00,6.73,0.00,6.32,0.00,5.23,0.00,5.98,0.00,5.75,0.00,6.73,0.00,7.45,0.00,5.53,0.00,4.62,0.00,6.05,0.00,5.83,0.00,7.28,0.00,6.87
1476625400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,5.08,0.00,6.03,0.00,6.07,0.00,6.35,0.00,5.05,0.00,5.38,0.00,3.25,0.00,5.60,0.00,6.88,0.00,7.25,0.00,6.17,0.00,7.32,0.00,0.08,0.00,6.15,0.00,4.85,0.00,6.22,0.00,5.62,0.00,5.65,0.00,6.72,0.00,6.33,0.00,5.50,0.00,4.07,0.00,5.57,0.00,7.05,0.00,6.77,0.00,6.15,0.00,6.40,0.00,5.38,0.00,5.78,0.00,5.70,0.00,6.73,0.00,4.83,0.00,5.47,0.00,6.30,0.00,5.18,0.00,6.32,0.00,6.20
1476625460000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,6.05,0.00,6.97,0.00,6.77,0.00,7.33,0.00,4.95,0.00,7.45,0.00,7.52,0.00,6.57,0.00,7.97,0.00,8.78,0.00,7.27,0.00,8.33,0.00,0.22,0.00,7.37,0.00,5.78,0.00,7.03,0.00,6.95,0.00,7.18,0.00,7.23,0.00,7.15,0.00,6.60,0.00,4.52,0.00,7.23,0.00,7.30,0.00,7.57,0.00,6.17,0.00,7.00,0.00,6.85,0.00,7.30,0.00,7.78,0.00,8.38,0.00,5.92,0.00,5.92,0.00,6.45,0.00,5.98,0.00,8.32,0.00,8.10
1476625520000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,5.25,0.00,7.58,0.00,7.82,0.00,8.05,0.00,5.67,0.00,7.97,0.00,8.27,0.00,7.73,0.00,8.82,0.00,9.00,0.00,8.00,0.00,9.73,0.00,0.15,0.00,8.03,0.00,6.72,0.00,7.23,0.00,7.75,0.00,8.12,0.00,8.43,0.00,7.17,0.00,7.32,0.00,5.40,0.00,8.55,0.00,8.28,0.00,7.90,0.00,7.43,0.00,7.40,0.00,7.38,0.00,7.55,0.00,8.23,0.00,9.23,0.00,6.78,0.00,5.50,0.00,7.47,0.00,7.28,0.00,8.72,0.00,8.77
1476625580000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,6.40,0.00,7.90,0.00,8.28,0.00,7.32,0.00,6.23,0.00,8.10,0.00,8.30,0.00,7.72,0.00,8.90,0.00,8.97,0.00,7.70,0.00,9.82,0.00,0.12,0.00,8.67,0.00,6.58,0.00,7.83,0.00,6.78,0.00,8.45,0.00,7.72,0.00,7.85,0.00,7.47,0.00,5.83,0.00,9.15,0.00,8.53,0.00,8.00,0.00,7.85,0.00,7.43,0.00,7.62,0.00,7.83,0.00,8.22,0.00,9.25,0.00,6.55,0.00,6.30,0.00,8.10,0.00,7.82,0.00,8.32,0.00,8.82
1476625640000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,6.70,0.00,7.00,0.00,7.70,0.00,8.28,0.00,6.45,0.00,7.82,0.00,8.52,0.00,7.23,0.00,8.78,0.00,9.15,0.00,8.25,0.00,9.90,0.00,0.08,0.00,8.47,0.00,6.60,0.00,7.68,0.00,7.28,0.00,8.15,0.00,8.23,0.00,7.73,0.00,7.45,0.00,5.58,0.00,8.35,0.00,7.95,0.00,8.70,0.00,7.58,0.00,7.47,0.00,6.98,0.00,7.63,0.00,7.92,0.00,9.45,0.00,6.70,0.00,6.12,0.00,7.85,0.00,6.78,0.00,8.90,0.00,9.62
1476625700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,5.92,0.00,8.17,0.00,7.37,0.00,8.58,0.00,6.40,0.00,8.02,0.00,7.38,0.00,7.18,0.00,9.02,0.00,8.73,0.00,7.78,0.00,9.75,0.00,0.07,0.00,8.22,0.00,5.95,0.00,7.17,0.00,6.77,0.00,7.75,0.00,8.33,0.00,7.28,0.00,6.90,0.00,5.65,0.00,7.97,0.00,7.55,0.00,8.52,0.00,6.67,0.00,6.38,0.00,7.05,0.00,7.07,0.00,8.25,0.00,9.40,0.00,7.00,0.00,5.40,0.00,7.00,0.00,6.90,0.00,9.12,0.00,7.73
1476625760000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,6.18,0.00,7.80,0.00,8.25,0.00,7.38,0.00,5.98,0.00,8.60,0.00,8.47,0.00,7.48,0.00,8.70,0.00,9.17,0.00,7.80,0.00,9.48,0.00,0.12,0.00,8.40,0.00,6.53,0.00,7.65,0.00,7.13,0.00,8.33,0.00,8.05,0.00,7.33,0.00,6.83,0.00,5.57,0.00,9.08,0.00,8.90,0.00,8.02,0.00,7.67,0.00,6.95,0.00,7.50,0.00,7.70,0.00,7.40,0.00,9.03,0.00,5.92,0.00,5.67,0.00,7.63,0.00,7.03,0.00,8.78,0.00,9.15
1476625820000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,5.65,0.00,6.00,0.00,7.05,0.00,5.62,0.00,5.45,0.00,6.57,0.00,8.00,0.00,6.93,0.00,6.88,0.00,7.22,0.00,7.05,0.00,9.28,0.00,0.13,0.00,7.65,0.00,5.48,0.00,6.98,0.00,6.20,0.00,7.67,0.00,6.27,0.00,6.27,0.00,6.78,0.00,4.68,0.00,7.68,0.00,6.72,0.00,7.63,0.00,6.50,0.00,6.97,0.00,5.83,0.00,5.97,0.00,5.68,0.00,8.32,0.00,6.08,0.00,5.00,0.00,6.53,0.00,6.98,0.00,7.10,0.00,8.38
1476625880000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,1.72,0.00,0.85,0.00,1.47,0.00,0.73,0.00,1.85,0.00,1.42,0.00,2.92,0.00,1.17,0.00,1.05,0.00,1.82,0.00,1.52,0.00,2.32,0.00,0.07,0.00,2.83,0.00,1.02,0.00,1.75,0.00,0.60,0.00,1.58,0.00,0.73,0.00,1.18,0.00,1.35,0.00,1.05,0.00,2.33,0.00,1.23,0.00,2.62,0.00,1.82,0.00,2.23,0.00,1.92,0.00,1.08,0.00,1.07,0.00,3.18,0.00,1.92,0.00,1.25,0.00,1.65,0.00,2.15,0.00,1.10,0.00,1.30
1476625940000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.00,12.20,0.00,19.87,0.05,15.08,0.00,22.03,0.02,9.28,0.00,19.53,0.00,11.23,0.00,13.38,0.00,23.08,0.00,18.72,0.00,17.05,0.00,18.05,0.10,0.07,0.00,12.90,0.02,12.02,0.02,13.63,0.02,17.40,0.00,14.80,0.00,15.27,0.00,14.45,0.00,15.67,0.00,8.57,0.02,16.15,0.00,16.53,0.00,14.37,0.00,14.22,0.00,11.38,0.00,12.62,0.00,18.17,0.00,18.65,0.00,12.20,0.00,8.32,0.00,12.72,0.00,17.57,0.00,9.10,0.02,21.17,0.00,17.52
1476626000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,21.02,0.00,30.60,0.00,28.62,0.00,32.18,0.00,18.52,0.00,31.07,0.00,25.45,0.00,21.50,0.00,35.85,0.00,34.77,0.00,29.92,0.00,37.07,0.00,0.07,0.00,28.37,0.00,22.73,0.00,25.98,0.00,27.23,0.00,27.47,0.00,28.47,0.00,29.72,0.00,27.62,0.00,15.77,0.00,28.47,0.00,30.15,0.00,30.22,0.00,23.08,0.00,23.72,0.00,23.27,0.00,25.88,0.00,28.92,0.00,32.25,0.00,19.45,0.00,21.30,0.00,25.70,0.00,22.43,0.00,37.73,0.00,34.33
