timestamp_ms,md0,md1,md2,nvme0n1,nvme1n1,sda,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdb,sdc,sdd,sde,sdf,sdg,sdh,sdi,sdj,sdk,sdl,sdm,sdn,sdo,sdp,sdq,sdr,sds,sdt,sdu,sdv,sdw,sdx,sdy,sdz
1476625100000,0.00,0.00,18.44,20.91,20.74,16.19,46.58,33.53,32.76,38.44,35.56,41.72,34.61,45.83,32.19,38.17,35.12,39.11,16.31,39.43,41.29,38.32,35.84,33.83,34.50,40.07,34.20,36.48,30.28,35.36,36.94,47.23,41.64,35.41,35.33,40.86,36.82,37.06,49.84,34.42,42.00,33.72,39.66
1476625160000,0.00,0.00,33.68,243.52,243.06,29.44,478.17,482.24,480.49,482.82,481.70,473.57,478.10,480.98,482.10,480.96,481.90,480.75,10.98,484.06,481.65,482.96,481.99,479.49,480.22,481.85,479.03,481.34,482.48,480.73,483.04,480.93,482.75,476.84,474.31,477.18,482.22,486.66,478.82,479.26,482.01,474.23,478.94
1476625220000,0.00,0.00,16.21,243.51,242.99,9.57,479.92,481.06,481.35,481.61,480.82,480.14,479.66,482.71,482.28,480.07,482.18,481.86,9.57,482.61,481.52,481.37,481.68,480.84,480.71,480.86,478.86,482.04,480.64,478.51,481.85,479.80,482.11,479.80,480.22,476.76,482.27,481.89,479.93,480.02,481.15,481.94,480.36
1476625280000,0.00,0.00,18.43,243.24,243.09,7.53,477.84,480.61,480.58,480.78,479.37,478.76,478.64,480.41,481.66,478.64,481.09,479.41,7.53,480.78,479.04,479.25,480.45,478.34,479.33,478.39,477.34,480.03,481.61,481.42,481.11,480.61,480.03,478.51,478.62,476.09,480.37,478.85,480.03,479.54,479.26,481.13,478.52
1476625340000,0.00,0.00,17.19,243.43,243.10,8.20,478.52,479.72,478.97,480.45,480.56,478.55,477.28,480.70,480.78,479.90,481.21,479.05,8.20,480.39,477.81,479.94,479.30,479.90,481.01,479.91,474.53,478.15,481.29,480.51,480.82,480.86,480.25,479.16,478.71,474.97,479.77,477.12,478.50,478.75,478.58,478.98,476.92
1476625400000,0.00,0.00,19.04,243.40,243.18,8.57,478.64,479.73,478.64,480.80,478.65,478.88,479.93,480.20,481.33,478.10,479.22,476.85,8.57,479.87,477.43,476.89,479.02,479.12,479.35,478.53,475.71,476.17,477.30,480.56,479.76,480.04,479.93,476.72,478.77,474.28,480.02,479.01,479.11,478.01,479.65,480.58,477.59
1476625460000,0.00,0.00,12.52,242.80,242.52,9.78,477.85,478.70,478.39,478.90,479.03,477.50,475.26,479.50,479.06,476.86,479.34,477.90,9.78,479.68,476.05,477.87,479.46,478.06,478.18,477.30,474.11,479.90,479.56,478.15,479.02,479.27,480.57,476.99,476.52,474.39,477.76,479.53,478.76,477.17,477.43,478.25,476.40
1476625520000,0.00,0.00,15.45,243.37,243.29,10.75,477.17,477.65,477.50,479.64,478.05,476.58,475.91,478.39,478.95,476.93,479.53,477.83,10.75,478.66,476.52,477.06,479.92,477.34,479.23,477.27,474.23,477.75,479.07,479.94,479.09,478.21,478.86,476.37,477.27,474.47,477.78,478.61,478.21,477.12,478.94,477.66,476.93
1476625580000,0.00,0.00,15.46,243.57,243.36,7.49,476.47,479.92,478.29,480.32,478.29,477.90,476.07,479.98,480.61,478.43,478.99,476.33,7.49,478.91,477.20,477.12,480.19,477.71,479.60,479.01,478.20,478.71,480.42,479.83,479.57,479.57,479.71,478.10,478.42,474.93,478.73,477.72,478.58,477.93,478.71,478.52,476.62
1476625640000,0.00,0.00,19.20,243.43,243.07,9.49,476.62,477.92,476.56,481.02,479.30,478.60,477.75,479.77,481.12,476.88,480.26,477.79,9.49,477.02,476.69,477.77,478.91,478.84,477.86,476.79,476.20,478.53,479.60,479.62,479.17,478.74,477.19,476.47,478.01,473.76,479.01,473.25,478.20,477.85,479.19,479.01,477.49
