timestamp_ms,md0,md1,md2,nvme0n1,nvme1n1,sda,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdb,sdc,sdd,sde,sdf,sdg,sdh,sdi,sdj,sdk,sdl,sdm,sdn,sdo,sdp,sdq,sdr,sds,sdt,sdu,sdv,sdw,sdx,sdy,sdz
1476625100000,0.00,0.00,0.00,0.58,0.59,1.12,3.48,3.09,3.37,4.19,3.57,4.60,3.79,3.11,3.23,6.28,3.83,4.90,1.06,6.47,6.35,6.83,3.41,3.68,4.45,4.64,5.04,4.42,5.80,4.28,3.01,4.85,4.78,3.48,3.91,5.87,4.96,3.12,4.82,3.19,4.54,3.45,6.20
1476625160000,0.00,0.00,0.00,14.46,15.29,0.97,5.29,6.79,6.38,6.72,5.00,7.47,7.04,5.76,8.07,8.31,6.52,8.83,0.82,6.43,5.02,6.86,5.93,6.27,6.96,7.03,6.79,4.16,7.11,7.18,7.22,5.57,6.66,6.29,5.56,6.96,8.44,5.10,4.88,6.64,6.13,8.45,7.42
1476625220000,0.00,0.00,0.00,27.95,30.67,0.57,10.60,14.15,14.84,14.05,11.13,15.26,16.38,12.55,14.90,17.56,15.18,18.64,0.60,15.40,10.82,14.00,12.23,14.09,13.85,12.66,13.04,9.38,14.66,14.31,14.16,13.95,11.98,13.10,12.95,14.52,18.22,11.18,10.79,12.74,10.88,16.46,16.78
1476625280000,0.00,0.00,0.00,26.36,28.87,0.84,10.25,14.15,14.51,13.23,10.24,14.69,15.10,12.09,14.93,14.67,14.32,18.21,0.73,13.38,11.79,13.95,11.61,12.75,12.69,11.71,12.19,7.96,13.77,13.77,13.51,12.75,12.82,11.59,12.12,13.31,16.74,10.10,10.65,12.36,11.54,14.86,15.06
1476625340000,0.00,0.00,0.00,28.46,28.53,0.76,11.41,12.11,14.19,14.00,10.72,15.12,14.40,12.82,15.66,16.43,13.73,17.69,0.72,14.34,10.65,13.11,11.17,13.45,13.41,12.60,12.57,8.53,12.59,14.38,14.74,12.32,12.43,12.44,12.74,13.17,16.09,10.40,9.41,12.86,11.95,15.40,15.48
1476625400000,0.00,0.00,0.00,25.73,25.20,0.76,9.60,12.26,12.64,11.67,9.06,11.93,13.65,10.88,13.82,14.61,11.57,16.04,0.69,12.34,9.14,12.35,9.97,12.16,11.45,11.75,10.75,7.27,12.72,13.08,13.73,9.92,10.79,11.78,10.34,12.56,14.90,8.89,9.85,11.42,9.79,12.78,13.31
1476625460000,0.00,0.00,0.00,25.46,26.82,0.96,10.59,11.80,13.09,12.82,9.29,13.54,15.03,11.44,13.71,15.36,12.10,17.24,1.04,12.78,10.31,12.48,11.35,11.69,12.22,11.78,10.25,7.98,12.32,12.93,13.67,10.97,11.79,11.35,11.44,13.18,15.23,10.22,10.00,11.26,10.79,15.23,14.86
1476625520000,0.00,0.00,0.00,27.35,30.99,0.46,10.44,12.80,13.87,12.57,9.95,14.34,15.33,13.51,15.33,16.56,15.13,19.27,0.44,13.78,11.71,13.44,12.36,13.88,13.71,13.03,12.21,8.57,14.90,13.47,14.19,11.58,11.55,11.70,12.26,14.56,16.70,10.77,9.84,12.68,11.79,15.68,15.98
1476625580000,0.00,0.00,0.00,28.34,30.62,0.96,10.86,14.63,14.27,13.71,10.47,15.67,16.02,13.17,16.28,16.58,14.96,18.96,0.94,14.54,11.72,13.32,10.92,13.80,13.97,12.81,12.86,8.67,15.31,15.48,15.64,13.27,12.65,11.93,14.03,14.40,17.28,11.92,9.42,13.13,12.14,16.05,16.13
1476625640000,0.00,0.00,0.00,26.47,28.92,0.67,10.87,11.85,14.02,13.96,10.13,14.88,15.14,12.77,14.49,15.94,13.26,18.59,0.67,14.79,12.07,13.06,11.88,13.69,12.09,11.95,12.38,8.14,13.60,13.70,13.75,11.72,12.95,12.04,12.46,12.80,16.48,10.06,9.64,12.92,11.01,16.03,15.27
