timestamp_ms,md0-read,md0-write,md1-read,md1-write,md2-read,md2-write,nvme0n1-read,nvme0n1-write,nvme1n1-read,nvme1n1-write,sda-read,sda-write,sdaa-read,sdaa-write,sdab-read,sdab-write,sdac-read,sdac-write,sdad-read,sdad-write,sdae-read,sdae-write,sdaf-read,sdaf-write,sdag-read,sdag-write,sdah-read,sdah-write,sdai-read,sdai-write,sdaj-read,sdaj-write,sdak-read,sdak-write,sdal-read,sdal-write,sdb-read,sdb-write,sdc-read,sdc-write,sdd-read,sdd-write,sde-read,sde-write,sdf-read,sdf-write,sdg-read,sdg-write,sdh-read,sdh-write,sdi-read,sdi-write,sdj-read,sdj-write,sdk-read,sdk-write,sdl-read,sdl-write,sdm-read,sdm-write,sdn-read,sdn-write,sdo-read,sdo-write,sdp-read,sdp-write,sdq-read,sdq-write,sdr-read,sdr-write,sds-read,sds-write,sdt-read,sdt-write,sdu-read,sdu-write,sdv-read,sdv-write,sdw-read,sdw-write,sdx-read,sdx-write,sdy-read,sdy-write,sdz-read,sdz-write
1476625100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,12.40,7.32,1.47,13.04,1.23,2.53,1.24,2.21,1.46,2.70,1.37,2.74,1.56,2.22,1.31,2.27,1.40,11.76,1.15,1.97,2.01,2.61,1.41,2.51,1.64,2.27,18.00,7.42,2.29,2.71,1.87,44.79,2.18,37.54,1.61,2.33,1.46,2.51,1.52,2.29,1.86,4.48,1.41,45.66,1.53,3.19,2.10,25.61,1.49,2.46,1.15,2.28,1.52,25.75,1.69,3.11,1.32,2.27,1.51,2.92,1.69,2.32,1.62,1.91,1.32,2.33,1.60,18.10,1.18,2.79,1.78,2.22,1.36,1.79,2.04,36.65
1476625160000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,0.00,1.40,13.85,10.04,1.58,23.76,0.00,19.45,0.00,19.65,0.00,22.31,0.14,22.24,0.00,20.04,0.50,17.78,0.00,25.12,0.00,17.62,0.50,17.51,0.00,20.97,0.00,17.61,6.75,9.33,0.00,20.54,6.00,21.31,0.00,18.13,0.25,21.96,0.20,17.90,39.50,17.88,14.00,20.22,0.00,18.01,4.67,26.82,7.50,18.55,8.50,20.41,0.33,19.75,0.60,20.24,0.00,19.02,0.00,21.33,0.82,19.53,0.29,18.14,0.00,17.12,14.00,24.46,0.25,22.72,0.00,19.65,26.17,18.62,0.00,22.53,0.00,17.63
1476625220000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.00,1.32,0.00,6.79,2.00,23.17,0.00,21.08,28.00,19.94,0.00,19.60,0.00,22.53,4.00,20.47,0.00,19.21,0.00,21.75,0.00,19.49,0.80,18.59,9.50,19.51,0.00,18.06,0.00,7.14,0.00,18.53,13.00,24.00,7.86,19.76,0.00,20.13,3.33,20.28,4.90,20.33,0.00,20.32,0.20,22.50,21.25,24.72,11.17,18.51,23.67,19.62,0.00,18.04,9.15,20.15,13.00,22.37,5.38,20.74,6.33,21.37,6.73,19.40,0.00,17.86,18.00,24.06,0.00,23.92,0.00,20.82,15.13,23.49,0.00,18.56,0.00,16.36
1476625280000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.00,1.27,0.00,7.93,1.00,24.73,0.00,20.41,0.00,21.27,0.00,20.88,20.50,23.62,2.50,20.28,0.00,20.24,21.00,23.21,0.00,19.34,4.56,19.63,14.71,19.70,0.00,16.95,0.00,6.93,0.00,19.87,19.40,20.56,1.80,20.02,0.00,20.69,11.40,20.05,0.10,19.84,21.75,22.19,0.00,22.39,0.00,28.00,0.00,20.62,0.00,19.99,0.00,19.64,4.00,20.51,0.00,20.26,1.57,20.01,0.33,21.62,4.50,19.84,0.00,18.33,24.50,23.72,0.00,23.22,0.00,20.06,9.36,22.21,0.00,18.26,0.00,18.88
1476625340000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,1.28,0.00,7.23,0.00,22.70,0.00,21.63,0.00,20.58,14.00,22.03,12.33,23.35,9.00,20.49,0.00,18.77,0.00,20.28,0.00,18.63,6.00,20.94,0.12,20.33,0.00,16.79,0.00,6.82,0.00,19.43,0.00,24.03,8.57,18.72,0.00,22.95,2.89,20.25,0.20,19.25,13.20,22.59,0.14,21.32,0.00,27.79,0.25,19.95,0.00,20.43,0.00,19.29,0.00,19.94,0.00,19.94,0.50,20.96,5.11,20.82,1.46,20.35,0.00,18.11,0.00,24.84,0.00,23.21,0.00,20.55,8.69,20.88,0.00,20.91,0.00,18.76
1476625400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.00,1.29,0.00,7.41,0.14,25.56,0.00,22.29,0.00,21.33,41.00,21.14,0.00,26.71,0.20,23.00,8.31,21.16,0.00,23.21,0.00,21.24,6.22,19.69,8.62,22.91,0.00,19.33,0.00,6.88,0.00,20.88,0.00,24.98,0.00,22.54,0.00,24.70,0.33,20.44,7.00,22.38,4.83,20.76,0.00,23.19,0.00,28.67,0.00,19.90,0.00,19.92,0.00,20.09,0.00,25.04,0.00,25.19,0.14,22.60,0.25,23.57,3.46,20.22,0.00,19.60,1.00,25.29,0.00,24.41,0.20,20.77,2.42,23.97,0.00,19.46,0.00,19.73
1476625460000,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.20,0.18,1.27,0.00,8.24,0.14,24.08,0.00,21.09,0.00,19.38,7.67,21.30,0.00,26.39,0.17,22.18,0.00,21.43,0.00,22.50,0.00,21.20,0.29,19.32,19.00,21.50,0.00,17.51,0.00,9.18,0.00,20.13,0.00,23.59,0.00,20.43,0.00,23.19,2.20,21.27,2.80,20.53,3.25,21.25,0.11,23.04,0.00,28.34,0.25,20.60,0.00,18.80,0.00,21.08,0.00,22.95,0.00,21.68,1.64,21.08,0.33,22.14,5.44,19.89,14.00,18.89,10.25,24.10,0.00,24.66,0.12,21.13,0.00,23.65,0.20,20.54,0.00,18.38
1476625520000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,1.33,0.00,6.98,0.67,24.22,0.00,21.70,0.00,20.26,0.00,20.71,0.00,25.74,5.50,19.41,0.00,18.40,0.00,20.51,0.00,19.06,0.20,17.65,12.29,18.80,0.00,16.53,0.00,6.69,0.00,19.25,0.00,21.94,0.00,19.51,0.00,20.54,2.33,18.62,0.00,19.72,0.00,21.18,0.50,19.96,0.00,27.50,0.00,18.73,0.00,19.97,0.00,19.07,0.00,20.43,0.00,21.14,0.29,22.40,0.00,21.30,0.73,18.24,33.33,16.46,0.00,22.21,0.00,22.89,0.00,20.26,0.00,20.11,0.00,17.70,0.17,18.12
1476625580000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,1.29,0.00,7.43,0.25,22.80,0.00,20.83,0.00,20.21,0.00,20.91,0.33,23.18,0.33,19.53,0.00,19.71,0.00,20.94,0.00,19.91,10.12,18.08,0.00,20.25,0.00,17.12,0.00,7.20,0.00,19.10,0.00,21.45,0.29,20.79,0.00,21.01,0.75,19.44,0.00,19.37,0.00,19.84,0.09,20.78,0.00,23.95,0.00,18.19,0.00,17.37,0.00,17.70,0.00,20.78,0.00,20.18,0.14,22.77,0.25,19.11,0.67,19.62,0.00,17.35,0.00,20.44,0.00,25.03,0.00,19.08,0.00,19.90,0.00,18.77,2.64,16.72
1476625640000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,1.25,0.00,7.79,6.11,24.25,0.00,20.96,0.00,19.86,0.00,21.21,0.00,24.46,0.00,19.75,17.00,20.35,0.00,21.54,0.00,21.23,3.60,19.02,6.50,20.80,0.00,18.87,0.00,7.70,0.00,20.25,0.00,20.39,1.86,19.36,0.00,21.66,0.00,19.28,0.00,19.50,0.00,20.78,0.00,20.50,0.00,25.96,0.00,19.84,0.00,19.51,0.00,18.48,0.00,22.30,0.00,21.22,1.78,20.94,0.50,20.14,0.09,20.12,0.00,18.76,16.00,25.96,0.00,23.51,0.00,18.86,0.00,22.08,0.25,18.23,0.00,19.30
